identifier,location_id
060fb787d40d30645c045da7083795f14a5644fb,202
06176c12673f9fc57fd7508ffa98fbe20889fcec,513
06186150469609db60d9d470897af7db4e4a97fa,498
0619d60d85f03a1668735df2fad047ffe52f7343,580
061a5d57c28fd9797dd66b6f038204eb7f45faa1,552
061c29b5a375bdb8a6437169818d710576c5e5dd,482
061e7ef27278ee7734b3b485c0eafcc5ed1d54bd,583
061e8aaa68410af0388f78e058b35d0b403539c5,539
061eaecb61eec7746fd74d69a3091adf8a690ef9,416
06283d7d84ae17340081e9546892b392b86b940f,700
0631f75bff4ea67473081d99b03b0e950efe7025,441
06389ac843e51e887930a437919354179a1bb550,139
063e5cc906b9d6a906ea71a8f3befc3dcbb72f1b,169
063ea7760e0a4207bc21bacb33ec5b72307062ac,21
063f6642be8af269543a74376615a82e6e185c69,331
0643d6f95d5a0be3e974ae8556de93af4224ca4b,646
06463d612438164e41df36e2ecbfe3ca149baea4,152
0646c566bf68b67ef1c967f8ed5b8f8f76e46917,252
064c88e218f9b886a0157ba398e13e5846c7ffb1,21
065a808ee21862f3b616ed26b16f12e1c87d1abf,453
0674f6d3384eefe6249d704776eb603d3b58d64d,259
0677836c39397ad9c3aea3aba2eee96ee2b3c6e2,482
06799b61117f055b4b8ffffa6466052b99308a29,567
067a562180dacd7b6274c4fd03cdc9103f16b6ad,707
067b79f85416a8ca5f594a8fdaf5cf4184bf9a82,119
067bdf301d597c0057b445c445776320a7bae360,73
0681f94d6e5a9dffad0e7643796ee4281fcc7351,552
0682f45401fffb685da9f48a5dea968a23459242,707
06893240a4122c543ff157c28cfe58248b8996e6,330
068aa2c9a0bfef80eb24b7d2d9b0d17b4dac8b29,67
069f91121b068b50c5b325be0d00de0805695d5d,677
06a3ddfd1fcdffd2712d487819fb2e52eb4d5a7f,709
06a4aef22803cdeae1720cde7441a4d02f71859a,691
06aae3255e24e4967a8c45543c7b02d508e85a8b,314
06ad61134e7c99481efb5f3d7065033836793eb9,713
