identifier,model,country,province_state,CityRev,Latitude,Longitude,readable_city,Selected_Source,building_type_pre,floor_area_sqft,number_floors,building_age_yrs,number_occupants,allow_comp_with_aux,has_electric,has_heatpump,number_remote_sensors,ASHRAE,CA_Title24_Zone,geometry,GEOID_place,NAME_place,LSAD_place,GEOID_county,NAME_county,STATEFP_county
8b57cbcc483063dc77199342b0ab8eba8af1f0b9,ESTWVC,US,CA,Fresno City,36.782684,-119.793359,Yes,census.gov,Null,0,0,0,0,True,False,False,"1, 2",3B,13,POINT (-119.793359 36.782684),627000.0,Fresno,25.0,6019,Fresno,6
8b66044dd576c1215b14aa0149471c5515043755,ecobee3,US,CA,Mather CDP,38.548362,-121.283841,Yes,census.gov,Detached,4500,2,15,2,False,False,False,"1, 2",3B,12,POINT (-121.283841 38.548362),646226.0,Mather,57.0,6067,Sacramento,6
8b9dff9960bcabd5e26389cb6c810809ddecbdaf,ecobee3Lite,US,CA,San Jose City,37.296011,-121.814552,Yes,census.gov,Detached,2000,1,60,3,False,False,False,"3, 6",3C,4,POINT (-121.814552 37.296011),668000.0,San Jose,25.0,6085,Santa Clara,6
8c1a82d37a1e4edef51d34f26208f5777e210edd,ESTWVC,US,CA,Jackson City,38.348489,-120.772822,Yes,census.gov,Detached,3501,1,1,0,True,False,False,0,4B,12,POINT (-120.772822 38.348489),636980.0,Jackson,25.0,6005,Amador,6
8c5c108ce0d0f70322d7c12477e7a77a47a92832,ESTWVC,US,CA,Rescue,38.7116667,-120.9513889,Yes,photon,Detached,4001,2,22,0,True,False,False,"4, 8",4B,12,POINT (-120.9513889 38.7116667),,,,6017,El Dorado,6
8c5c224a12c57ade2d3a550a49550ca3237b0c28,ecobee4,US,CA,Irvine City,33.678399,-117.771254,Yes,census.gov,Detached,2500,2,10,2,False,False,False,"1, 2",3B,8,POINT (-117.771254 33.678399),636770.0,Irvine,25.0,6059,Orange,6
8c62bf3217905ae470926fa12ceafdf4a3b2201a,ecobee4,US,CA,Mckinleyville CDP,40.951571,-124.077357,Yes,census.gov,Detached,1501,1,42,0,True,False,False,"1, 2",4C,1,POINT (-124.077357 40.951571),644910.0,McKinleyville,57.0,6023,Humboldt,6
8c6d35a06b048bb0628e5a5fcd99770b48944862,ecobee3Lite,US,CA,Chico City,39.758951,-121.81772,Yes,census.gov,Detached,2500,1,10,0,False,False,True,"4, 8",3B,11,POINT (-121.81772 39.758951),613014.0,Chico,25.0,6007,Butte,6
8cb33553ed775c8805259978fd467cb2000e5a11,ecobee3Lite,US,CA,Rocklin City,38.806868,-121.249696,Yes,census.gov,Other,3500,2,7,0,False,False,False,"0, 1, 2",3B,11,POINT (-121.249696 38.806868),662364.0,Rocklin,25.0,6061,Placer,6
8cc8575323a98f4062813e30024354ac925d1fd4,ESTWVC,US,CA,La Puente City,34.032333,-117.95352,Yes,census.gov,Detached,1500,1,71,4,True,False,False,1,3B,9,POINT (-117.95352 34.032333),640340.0,La Puente,25.0,6037,Los Angeles,6
8cd3944e32544006ac410f5d5fd4e042cfaa6069,ecobee4,US,CA,Acton CDP,34.49607,-118.183897,Yes,census.gov,Detached,3500,2,20,2,True,False,False,"1, 2",3B,14,POINT (-118.183897 34.49607),600212.0,Acton,57.0,6037,Los Angeles,6
